Table 3 
Best-fit Parameters for GCE Fits


Species	m (dex Gyr^-1)	b (dex)	s (dex)	
C I	0.0115 +or- 0.0014	-0.0836 +or- 0.0089	0.0394 +or- 0.0044	
CH	0.0115 +or- 0.0014	-0.0940 +or- 0.0079	0.0293 +or- 0.0030	
O I	0.0088 +or- 0.0014	-0.0260 +or- 0.0075	0.0238 +or- 0.0028	
Na I	0.0086 +or- 0.0016	-0.0614 +or- 0.0089	0.0273 +or- 0.0029	
Mg I	0.0099 +or- 0.0009	-0.0367 +or- 0.0048	0.0121 +or- 0.0018	
Al I	0.0139 +or- 0.0010	-0.0595 +or- 0.0054	0.0156 +or- 0.0019	
Si I	0.0063 +or- 0.0006	-0.0308 +or- 0.0033	0.0110 +or- 0.0011	
S I	0.0098 +or- 0.0015	-0.0537 +or- 0.0085	0.0240 +or- 0.0035	
Ca I	-0.0011 +or- 0.0006	0.0217 +or- 0.0032	0.0089 +or- 0.0011	
Sc I	0.0059 +or- 0.0009	-0.0263 +or- 0.0052	0.0159 +or- 0.0022	
Sc II	0.0059 +or- 0.0009	-0.0235 +or- 0.0052	0.0205 +or- 0.0025	
Ti I	0.0036 +or- 0.0005	-0.0024 +or- 0.0032	0.0119 +or- 0.0014	
Ti II	0.0036 +or- 0.0005	-0.0094 +or- 0.0031	0.0115 +or- 0.0014	
V I	0.0013 +or- 0.0007	-0.0023 +or- 0.0037	0.0091 +or- 0.0011	
Cr I	-0.0016 +or- 0.0003	0.0095 +or- 0.0019	0.0053 +or- 0.0008	
Cr II	-0.0016 +or- 0.0003	0.0133 +or- 0.0019	0.0000 +or- 0.0001	
Mn I	0.0023 +or- 0.0012	-0.0312 +or- 0.0063	0.0206 +or- 0.0020	
Co I	0.0074 +or- 0.0011	-0.0460 +or- 0.0057	0.0178 +or- 0.0020	
Ni I	0.0071 +or- 0.0009	-0.0505 +or- 0.0050	0.0172 +or- 0.0018	
Cu I	0.0149 +or- 0.0017	-0.0850 +or- 0.0097	0.0244 +or- 0.0030	
Zn I	0.0102 +or- 0.0014	-0.0699 +or- 0.0077	0.0224 +or- 0.0029	
Sr I	-0.0251 +or- 0.0030	0.1310 +or- 0.0164	0.0574 +or- 0.0060	
Y II	-0.0238 +or- 0.0024	0.1135 +or- 0.0130	0.0470 +or- 0.0051	
Zr II	-0.0219 +or- 0.0023	0.1179 +or- 0.0125	0.0422 +or- 0.0046	
Ba II	-0.0317 +or- 0.0018	0.1897 +or- 0.0093	0.0309 +or- 0.0039	
La II	-0.0227 +or- 0.0021	0.1397 +or- 0.0121	0.0350 +or- 0.0046	
Ce II	-0.0220 +or- 0.0018	0.1497 +or- 0.0097	0.0305 +or- 0.0039	
Pr II	-0.0103 +or- 0.0025	0.1534 +or- 0.0131	0.0451 +or- 0.0050	
Nd II	-0.0198 +or- 0.0020	0.1527 +or- 0.0108	0.0360 +or- 0.0038	
Sm II	-0.0077 +or- 0.0017	0.0668 +or- 0.0094	0.0226 +or- 0.0032	
Eu II	-0.0056 +or- 0.0017	0.0908 +or- 0.0093	0.0300 +or- 0.0033	
Gd II	-0.0060 +or- 0.0016	0.0592 +or- 0.0089	0.0279 +or- 0.0028	
Dy II	-0.0073 +or- 0.0023	0.0805 +or- 0.0123	0.0332 +or- 0.0043	
