koi,kepid,prot,prot_ref,prot_numflag,a18_prot,m13_prot,m15_prot,w13_prot
1,11446443.0,,,1.0,24.85,,70.55,
2,10666592.0,,,1.0,19.6,,70.69,
6,3248033.0,,,0.0,22.77,,,
7,11853905.0,,,1.0,25.31,,,
8,5903312.0,,,0.0,15.32,,,13.88
10,6922244.0,7.46,a18,2.0,7.46,,82.12,
17,10874614.0,,,1.0,18.29,,59.87,
18,8191672.0,,,1.0,24.14,,81.97,
20,11804465.0,,,1.0,29.59,,59.5,
22,9631995.0,,,1.0,44.48,,126.37,
41,6521045.0,,,1.0,25.78,24.99,24.99,
46,10905239.0,,,1.0,21.78,,,
49,9527334.0,8.74,a18,3.0,8.74,8.55,8.59,8.6
63,11554435.0,5.49,a18,3.0,5.49,5.41,,5.39
64,7051180.0,2.23,a18,3.0,2.23,,,2.22
69,3544595.0,,,1.0,29.63,,57.32,
70,6850504.0,27.92,a18,2.0,27.92,,27.72,28.25
72,11904151.0,,,1.0,48.56,,18.2,
75,7199397.0,,,1.0,25.28,,26.41,21.71
82,10187017.0,26.55,a18,3.0,26.55,26.57,26.4,26.74
84,2571238.0,20.23,a18,2.0,20.23,,20.27,32.54
85,5866724.0,7.9,a18,3.0,7.9,7.91,7.88,
92,7941200.0,16.38,a18,3.0,16.38,16.2,16.18,
94,6462863.0,21.86,a18,2.0,21.86,,,
97,5780885.0,,,1.0,15.89,,103.25,
102,8456679.0,,,1.0,18.77,,43.7,
103,2444412.0,22.97,a18,3.0,22.97,23.16,23.28,10.71
104,10318874.0,44.31,m15,2.0,,,44.31,
105,8711794.0,,,1.0,19.72,,43.09,
107,11250587.0,17.42,a18,3.0,17.42,17.33,17.58,
108,4914423.0,,,1.0,21.66,,20.92,
110,9450647.0,,,1.0,21.63,,11.04,
111,6678383.0,,,1.0,18.03,,,
112,10984090.0,15.73,a18,2.0,15.73,,32.08,
115,9579641.0,16.34,a18,2.0,16.34,16.85,16.78,
116,8395660.0,22.51,a18,2.0,22.51,,20.33,
117,10875245.0,22.35,a18,2.0,22.35,,21.56,
118,3531558.0,20.6,a18,2.0,20.6,,49.68,
122,8349582.0,15.73,m15,2.0,34.16,,15.73,
123,5094751.0,,,1.0,26.42,,43.72,
124,11086270.0,,,1.0,36.56,,54.78,
127,8359498.0,30.49,a18,2.0,30.49,,33.24,
128,11359879.0,,,1.0,23.48,,35.55,
134,9032900.0,,,0.0,7.68,,,7.42
135,9818381.0,12.86,a18,3.0,12.86,12.85,,12.38
137,8644288.0,16.4,a18,2.0,16.4,,44.74,
139,8559644.0,17.14,a18,2.0,17.14,16.96,16.91,
142,,,,0.0,,,,
144,4180280.0,39.72,a18,2.0,39.72,,44.85,
145,9904059.0,,,1.0,,,,
148,5735762.0,38.35,a18,2.0,38.35,,36.57,39.36
149,3835670.0,,,1.0,20.29,,56.09,
150,7626506.0,,,1.0,15.62,,25.74,
152,8394721.0,4.71,a18,2.0,4.71,,64.01,
153,12252424.0,26.86,a18,2.0,26.86,,45.46,
155,8030148.0,,,1.0,30.16,,112.96,
157,6541920.0,,,1.0,21.07,,25.25,
159,8972058.0,13.83,a18,2.0,13.83,,80.2,
161,5084942.0,19.52,a18,2.0,19.52,,42.39,26.74
166,2441495.0,16.51,a18,2.0,16.51,,71.94,
167,11666881.0,,,1.0,,,26.48,
168,11512246.0,,,1.0,9.11,,50.13,
171,7831264.0,8.83,a18,3.0,8.83,,8.42,8.6
172,8692861.0,,,1.0,46.43,,81.91,
173,11402995.0,,,1.0,,,55.39,
174,10810838.0,23.4,a18,2.0,23.4,,78.08,
176,6442377.0,5.83,a18,2.0,5.83,,58.37,
179,9663113.0,,,1.0,15.02,,12.78,
180,9573539.0,15.78,a18,3.0,15.78,15.76,15.59,15.94
186,12019440.0,21.2,a18,2.0,21.2,,21.43,
191,5972334.0,,,1.0,28.78,,55.1,
193,10799735.0,,,0.0,,,23.23,
195,11502867.0,,,1.0,21.98,,142.09,
197,2987027.0,21.57,a18,2.0,21.57,35.21,34.47,
201,6849046.0,,,1.0,15.97,,,
203,10619192.0,12.27,a18,3.0,12.27,12.16,12.05,12.5
209,10723750.0,10.93,a18,2.0,10.93,,10.72,
211,10656508.0,,,1.0,19.56,,,
214,11046458.0,15.1,a18,2.0,15.1,,31.4,
232,4833421.0,,,0.0,22.16,,61.76,
237,8041216.0,12.13,d20,2.0,23.84,23.3,23.25,27.73
238,7219825.0,,,0.0,10.39,,20.24,
241,11288051.0,,,0.0,1.1,,49.42,
244,4349452.0,,m15,2.0,,23.15,,24.55
245,,,,0.0,,,,
246,11295426.0,,,1.0,16.38,,,
257,5514383.0,7.94,a18,2.0,7.94,7.86,7.86,
260,8292840.0,7.33,a18,2.0,7.33,,,
261,5383248.0,15.17,a18,3.0,15.17,14.92,14.86,15.3
262,11807274.0,7.86,a18,3.0,7.86,7.55,7.6,
263,10514430.0,,,0.0,,,39.29,
265,12024120.0,12.48,a18,2.0,12.48,,24.49,
266,7375348.0,,,1.0,,,,
268,3425851.0,7.87,m13,3.0,,7.87,,7.97
269,7670943.0,6.11,a18,2.0,6.11,5.27,5.21,
271,9451706.0,10.2,a18,2.0,10.2,10.12,10.1,
273,3102384.0,,,1.0,27.37,,37.33,
274,8077137.0,13.07,m15,2.0,20.7,,13.07,
275,10586004.0,,,1.0,29.87,,29.78,
276,11133306.0,,,0.0,19.22,,55.45,
277,11401755.0,,,1.0,20.24,,17.62,
279,12314973.0,10.24,a18,2.0,10.24,20.8,20.82,
280,4141376.0,,,0.0,22.5,,27.83,
281,4143755.0,22.29,a18,2.0,22.29,,65.65,
282,5088536.0,,,1.0,27.47,,35.82,34.8
283,5695396.0,17.88,a18,3.0,17.88,17.52,17.43,17.21
284,6021275.0,,,0.0,10.55,,40.94,
285,6196457.0,17.0,a18,2.0,17.0,,32.5,
288,9592705.0,13.57,a18,3.0,13.57,13.38,13.34,
289,10386922.0,,,1.0,29.26,,32.44,
291,10933561.0,,,1.0,20.93,,27.99,
292,11075737.0,21.81,a18,2.0,21.81,,19.77,
294,11259686.0,13.94,a18,2.0,13.94,12.1,12.09,12.37
295,11547513.0,15.75,m15,2.0,28.86,15.72,15.75,
296,11802615.0,,,1.0,20.94,,78.75,
297,11905011.0,8.81,a18,2.0,8.81,8.29,8.28,8.27
299,2692377.0,23.42,a18,2.0,23.42,22.96,23.0,23.43
301,3642289.0,,,0.0,14.15,,82.0,
303,5966322.0,21.53,d20,2.0,18.71,,56.21,
304,6029239.0,16.78,a18,2.0,16.78,16.5,16.57,14.42
305,6063220.0,31.46,a18,2.0,31.46,29.55,29.78,14.99
306,6071903.0,17.6,a18,3.0,17.6,17.82,17.77,17.84
307,6289257.0,14.31,a18,2.0,14.31,,13.62,
308,6291837.0,6.02,m15,2.0,23.34,,6.02,
313,7419318.0,,,0.0,20.51,,39.15,
315,7700622.0,33.4,a18,2.0,33.4,31.43,31.63,
316,8008067.0,19.68,a18,2.0,19.68,,26.4,
317,8121310.0,,,0.0,9.69,,70.93,
318,8156120.0,5.24,a18,3.0,5.24,4.92,4.99,
321,8753657.0,,,0.0,18.37,,76.54,
323,9139084.0,7.6,a18,3.0,7.6,7.64,7.64,7.97
327,9881662.0,13.3,a18,2.0,13.3,24.52,24.91,
328,9895004.0,,,0.0,,,,15.62
330,11361646.0,11.84,d20,2.0,29.55,,25.6,27.73
331,10285631.0,16.87,m15,2.0,,,16.87,
332,10290666.0,,,0.0,18.42,,52.23,
333,10337258.0,7.26,a18,3.0,7.26,6.89,6.87,
337,,,,0.0,,,,
338,10552611.0,30.77,m13,2.0,18.78,30.77,61.17,
340,10616571.0,,,0.0,12.82,12.94,,12.93
341,10878263.0,18.44,a18,3.0,18.44,18.55,18.31,19.21
343,10982872.0,9.72,d20,2.0,29.48,,29.54,
344,11015108.0,12.18,d20,2.0,23.79,24.15,24.16,
345,11074541.0,34.93,a18,2.0,34.93,35.05,34.44,34.8
346,11100383.0,15.15,m13,3.0,15.54,15.15,15.08,14.99
348,11194032.0,35.94,a18,2.0,35.94,37.09,36.89,41.54
350,11395587.0,20.78,a18,2.0,20.78,19.67,19.71,
351,11442793.0,,,0.0,17.94,,13.64,
352,11521793.0,13.17,a18,2.0,13.17,,41.38,
355,11621223.0,10.8,a18,2.0,10.8,10.39,10.41,
356,11624249.0,21.4,a18,2.0,21.4,,58.31,
360,12107021.0,,,0.0,29.12,,,
361,12404954.0,23.77,a18,2.0,23.77,24.5,24.33,
364,,,,0.0,,,,
365,11623629.0,16.06,a18,2.0,16.06,,33.0,
367,4815520.0,11.82,d20,2.0,16.28,23.37,23.49,
369,7175184.0,8.21,a18,3.0,8.21,,8.12,
370,8494142.0,,,1.0,23.23,,74.93,
371,5652983.0,,,0.0,20.04,,,
372,6471021.0,11.97,a18,3.0,11.97,11.77,11.8,11.9
373,7364176.0,,,1.0,21.74,,32.98,
374,8686097.0,,,0.0,51.4,,27.66,
375,,,,0.0,,,,
377,,,,0.0,,,,
379,2446113.0,,,1.0,25.79,,34.14,
384,3353050.0,23.24,a18,2.0,23.24,,45.83,
385,3446746.0,14.81,d20,2.0,19.35,,29.56,
386,3656121.0,14.39,a18,2.0,14.39,13.81,13.85,
387,3733628.0,20.3,m15,3.0,20.65,20.31,20.3,20.25
388,3831053.0,,,0.0,38.48,,61.23,
392,3942670.0,,,0.0,25.54,,78.66,
393,3964109.0,,,0.0,24.18,,0.14,
399,7289157.0,,,0.0,,,,7.97
401,3217264.0,,,1.0,18.83,,36.53,
403,4247092.0,,,0.0,20.89,,,
408,5351250.0,17.87,a18,3.0,17.87,17.56,17.48,18.28
409,5444548.0,13.81,a18,2.0,13.81,,20.62,
415,6289650.0,,,0.0,29.07,,61.73,
416,6508221.0,,,0.0,16.72,,41.92,
427,10189546.0,26.32,a18,2.0,26.32,26.28,25.84,13.39
431,10843590.0,30.28,a18,2.0,30.28,,28.68,
433,10937029.0,,,0.0,23.51,,29.23,
435,11709124.0,,,1.0,35.92,,60.06,
439,12470954.0,19.89,d20,2.0,36.73,,,
440,2438264.0,34.96,a18,2.0,34.96,,37.1,34.8
442,3745690.0,,,0.0,20.96,,75.74,
444,3847138.0,16.08,a18,2.0,16.08,26.4,26.78,
446,4633570.0,15.57,d20,2.0,,31.3,31.33,
448,5640085.0,10.5,m15,3.0,,10.47,10.5,10.27
456,7269974.0,,,0.0,23.32,,77.01,
457,7440748.0,28.56,a18,3.0,28.56,27.88,27.86,26.74
459,7977197.0,,,0.0,,,32.18,
464,8890783.0,26.22,m15,2.0,,26.34,26.22,
465,,,,0.0,,,,
466,9008220.0,,,0.0,14.87,14.85,14.64,14.7
474,10460984.0,15.33,m15,2.0,,15.35,15.33,
475,10577994.0,,,1.0,17.47,,36.32,
479,11015323.0,,,1.0,27.18,,56.94,
481,11192998.0,23.81,m15,2.0,,,23.81,
486,12404305.0,,,0.0,,,73.37,
