  757099  0.367 0.006 2050233601176543232 291.043 0.020 36.594 0.028   -1.967  3.403  13.291   3.581 1.771 0.028 5285.025  5.110 0.006
  892713  5.753 0.777 2050232256840088832 291.140 0.017 36.623 0.022  -12.292  0.790  14.556   4.132 1.776 0.522 6308.396  1.487 0.006
  892834 13.765 0.023 2050232089348169728 291.163 0.019 36.628 0.024    2.592  3.274   6.762   1.235 1.738 0.673 4881.242  6.251 0.011
  893033 26.999 0.214 2050232639104044032 291.208 0.020 36.668 0.024  -41.087  3.357  18.404   5.979 1.790 1.388 4689.995  6.653 0.004
  893165 54.874 3.786 2050231505232662528 291.237 0.011 36.615 0.015    5.218  3.285  13.730   3.769 1.772 2.517 5933.169  3.695 0.001
  893286 28.211 0.872 2050237758705104896 291.264 0.022 36.668 0.026    8.977  3.306  18.748   6.156 1.791 1.529 5320.302  5.496 0.007
  893383 21.598 0.536 2050237380747973888 291.285 0.015 36.634 0.018  -16.289  3.295   9.319   2.047 1.753 1.159 5664.012  5.097 0.013
  893507 11.075 0.053 2050190548423108864 291.313 0.019 36.633 0.025  -10.619  3.298  21.208   7.475 1.798 0.609 5432.080  2.386 0.001
  893559 14.878 0.108 2050237930503862016 291.323 0.027 36.687 0.033   11.182  3.276   9.324   2.049 1.753 0.828 5135.328  5.735 0.015
  893647  8.829 0.017 2050238033583090688 291.338 0.021 36.690 0.025  -11.931  3.293   6.986   1.300 1.740 0.353 4764.757  3.967 0.001
  893676 25.467 0.171 2050238063650636288 291.344 0.022 36.693 0.025   -8.902  3.343  19.386   6.489 1.793 1.179 5088.359  4.863 0.011
 1025986  9.724 0.016 2050248955672928000 291.034 0.021 36.771 0.027    2.777  0.247   7.834   1.557 1.745 0.544 5690.962  4.811 0.014
 1026474  1.569 0.006 2050236143797351936 291.149 0.035 36.724 0.041   22.698          8.652   1.821 1.749 0.064 4026.559  7.566 0.003
 1027016  1.257 0.005 2050239511051851520 291.267 0.014 36.780 0.017  -10.977         26.732  10.764 1.814 0.059 4689.991  5.756 0.003
 1027330 34.523 7.015 2050238136662521600 291.333 0.021 36.717 0.025    0.956  3.205   9.088   1.968 1.751 1.358 4737.234  6.075 0.003
 1027740 26.697 1.715 2050192708796263168 291.417 0.012 36.723 0.014  -22.187  3.201  16.933   5.244 1.785 1.548 5373.995  5.184 0.006
 1028018  0.621 0.003 2051694572946664704 291.471 0.019 36.800 0.025   -3.928         18.453   6.004 1.790 0.039 5567.232  4.754 0.004
 1160891  0.868 0.238 2050252842630106368 290.924 0.011 36.828 0.014   -4.873         12.068   3.076 1.766 0.100 6631.786  1.949 0.009
 1160947 25.155 0.148 2050253667263886848 290.939 0.027 36.899 0.039   34.415         14.270   4.005 1.775 1.080 4902.703  6.345 0.004
 1161620  6.636 0.027 2050243187543742464 291.109 0.012 36.800 0.014   -3.651          9.267   2.029 1.752 0.555 5847.585  4.705 0.024
 1162051 19.388 0.163 2050243634220456448 291.202 0.019 36.851 0.025    3.259  0.151   7.697   1.515 1.744 1.412 5606.504  5.029 0.014
 1162635 15.678 0.019 2050240885441462272 291.335 0.075 36.806 0.092   -7.932  3.314   8.277   1.698 1.747 0.438 3892.908  7.408 0.011
 1162715  6.625 0.030 2050241710075251968 291.352 0.013 36.881 0.015   -0.963          9.801   2.216 1.755 0.612 5669.317  5.021 0.018
 1163090 15.726 0.136 2051741547012578304 291.437 0.027 36.820 0.033  -15.383  3.275  10.461   2.456 1.758 0.725 4814.503  6.231 0.014
 1163303  9.972 0.045 2051741650091842304 291.482 0.027 36.834 0.035   -6.697  3.211   7.365   1.413 1.742 0.505 4887.564  6.209 0.025
 1163579  5.429 0.050 2051694989565637632 291.546 0.011 36.855 0.014    9.785  1.211  16.775   5.167 1.784 0.339 5885.837  4.111 0.007
 1163994 28.638 0.355 2051695333163048704 291.630 0.024 36.823 0.029   15.241  3.259  19.972   6.801 1.795 1.179 4508.127  6.767 0.005
 1164102 31.496 0.474 2051695470602017280 291.651 0.021 36.837 0.029   17.042  3.222  17.456   5.501 1.786 1.153 4048.485  7.548 0.003
 1292666 18.437 0.471 2050254457537860864 290.911 0.011 36.915 0.014   14.993         15.801   4.703 1.780 2.152 5649.271  4.743 0.007
 1292688 42.659 2.131 2050254491897607168 290.920 0.032 36.917 0.040  -10.951  3.388  20.277   6.965 1.796 1.248 3785.474  8.616 0.001
 1293671 51.563 2.747 2050257652993785600 291.185 0.014 36.966 0.017   -4.342          2.852   0.317 1.711 3.551 5126.326  3.126 0.001
 1293861 31.806 1.549 2050257790432779520 291.226 0.033 36.975 0.030  -10.761  3.475  11.189   2.730 1.762 1.706 4919.638  6.116 0.005
 1293907 26.547 0.069 2050245970682768896 291.238 0.056 36.945 0.062    9.787         17.761   5.654 1.787 1.240 4918.086  5.469 0.005
