   1 K00001.01 13.62 0.30
   2 K00002.01 17.93 1.07
   3 K00007.01  4.49 0.13
   4 K00010.01 16.62 1.14
   5 K00017.01 14.31 0.35
   6 K00018.01 16.78 0.80
   7 K00020.01 21.19 0.63
   8 K00022.01 14.06 0.34
   9 K00041.01  2.48 0.07
  10 K00041.02  1.38 0.04
  11 K00041.03  1.67 0.06
  12 K00046.01  6.69 0.23
  13 K00046.02  1.37 0.08
  14 K00049.01  4.11 0.17
  15 K00063.01  6.20 0.14
  16 K00064.01  9.41 0.50
  17 K00069.01  1.69 0.03
  18 K00070.01  3.14 0.05
  19 K00070.02  1.91 0.03
  20 K00070.03  2.79 0.05
  21 K00070.04  0.90 0.03
  22 K00070.05  0.97 0.03
  23 K00072.02  2.57 0.05
  24 K00075.01 10.98 0.54
  25 K00082.01  2.45 0.05
  26 K00082.02  1.33 0.03
  27 K00082.03  0.93 0.03
  28 K00082.04  0.65 0.02
  29 K00082.05  0.52 0.02
  30 K00082.06  0.67 0.03
  31 K00084.01  2.55 0.04
  32 K00085.01  2.85 0.09
  33 K00085.02  1.58 0.05
  34 K00085.03  1.68 0.06
  35 K00092.01  2.94 0.07
  36 K00094.01 11.38 0.33
  37 K00094.02  4.23 0.12
  38 K00094.03  6.75 0.20
  39 K00094.04  1.71 0.05
  40 K00097.01 18.98 0.82
  41 K00102.01  3.76 0.09
  42 K00103.01  2.83 0.05
  43 K00104.01  3.15 0.09
  44 K00105.01  3.88 0.09
  45 K00107.01  3.79 0.14
  46 K00108.01  3.60 0.10
  47 K00108.02  5.85 0.16
  48 K00110.01  3.13 0.10
  49 K00111.01  2.57 0.06
  50 K00111.02  2.44 0.05
  51 K00111.03  2.84 0.06
  52 K00112.01  2.74 0.07
  53 K00112.02  1.15 0.03
  54 K00115.01  2.78 0.06
  55 K00115.02  1.57 0.04
  56 K00115.03  0.55 0.04
  57 K00116.01  2.60 0.05
  58 K00116.02  2.86 0.06
  59 K00116.03  0.86 0.04
  60 K00116.04  1.17 0.04
  61 K00117.01  3.28 0.09
  62 K00117.02  1.88 0.05
  63 K00117.03  1.74 0.05
  64 K00117.04  1.12 0.05
  65 K00118.01  2.53 0.08
  66 K00122.01  3.49 0.09
  67 K00123.01  2.56 0.07
  68 K00123.02  2.83 0.07
  69 K00124.02  2.60 0.08
  70 K00127.01 11.70 0.24
  71 K00128.01 14.19 0.35
  72 K00135.01 13.30 0.41
  73 K00137.01  4.87 0.09
  74 K00137.02  5.85 0.11
  75 K00137.03  1.82 0.04
  76 K00139.01  7.27 0.16
  77 K00139.02  1.64 0.04
  78 K00141.01 12.68 0.86
  79 K00144.01  3.17 0.08
  80 K00148.01  2.05 0.04
  81 K00148.02  2.90 0.06
  82 K00148.03  2.22 0.05
  83 K00149.01  6.45 0.28
  84 K00150.01  2.84 0.06
  85 K00150.02  2.88 0.07
  86 K00152.01  8.12 0.74
  87 K00152.02  4.13 0.38
  88 K00152.03  3.86 0.35
  89 K00152.04  3.29 0.31
